engine_type,count
I4,298657
V6,159487
V8,76141
H4,21728
I4 Hybrid,12884
I3,11426
I6,6602
V8 Biodiesel,2541
I6 Diesel,2150
V6 Diesel,1416
I4 Diesel,1409
I5,1300
H6,1098
V8 Diesel,783
V6 Hybrid,695
V6 Biodiesel,459
V12,361
V10,218
I2,117
V8 Hybrid,28
