power,count
"121 hp @ 6,300 RPM",675
"134 hp @ 5,200 RPM",668
"166 hp @ 5,800 RPM",663
"302 hp @ 6,600 RPM",661
"140 hp @ 6,300 RPM",652
"178 hp @ 6,400 RPM",651
"485 hp @ 6,100 RPM",649
"411 hp @ 5,500 RPM",648
"146 hp @ 6,200 RPM",639
"362 hp @ 5,000 RPM",626
"248 hp @ 5,500 RPM",617
"293 hp @ 6,400 RPM",614
160 hp @ 650 RPM,602
"198 hp @ 6,300 RPM",596
"333 hp @ 5,500 RPM",592
"170 hp @ 5,700 RPM",589
"170 hp @ 4,500 RPM",589
"362 hp @ 5,500 RPM",585
"450 hp @ 5,500 RPM",577
"173 hp @ 6,000 RPM",573
"138 hp @ 6,300 RPM",571
"106 hp @ 6,000 RPM",570
"330 hp @ 6,000 RPM",565
"301 hp @ 5,500 RPM",564
"305 hp @ 6,500 RPM",564
"325 hp @ 5,750 RPM",563
"287 hp @ 6,500 RPM",562
"201 hp @ 6,800 RPM",560
"175 hp @ 6,000 RPM",558
"275 hp @ 5,500 RPM",551
"236 hp @ 5,200 RPM",550
"184 hp @ 6,400 RPM",550
"342 hp @ 5,400 RPM",549
"140 hp @ 6,500 RPM",547
"145 hp @ 6,500 RPM",544
"240 hp @ 5,800 RPM",544
"304 hp @ 6,800 RPM",544
"320 hp @ 5,400 RPM",543
"365 hp @ 5,000 RPM",541
"180 hp @ 6,800 RPM",539
"123 hp @ 6,350 RPM",534
"300 hp @ 5,000 RPM",531
"180 hp @ 5,000 RPM",529
"272 hp @ 5,500 RPM",524
"445 hp @ 5,500 RPM",518
"120 hp @ 5,000 RPM",515
"450 hp @ 2,800 RPM",514
"211 hp @ 4,300 RPM",503
"285 hp @ 6,500 RPM",502
"203 hp @ 6,000 RPM",501
"230 hp @ 6,500 RPM",500
"201 hp @ 6,000 RPM",494
"160 hp @ 5,500 RPM",493
"175 hp @ 5,600 RPM",492
"170 hp @ 4,800 RPM",491
"455 hp @ 6,000 RPM",489
"180 hp @ 6,250 RPM",483
"295 hp @ 6,350 RPM",479
"256 hp @ 6,000 RPM",472
"143 hp @ 6,500 RPM",464
"177 hp @ 6,500 RPM",461
"264 hp @ 6,950 RPM",455
"173 hp @ 5,600 RPM",454
"335 hp @ 5,600 RPM",453
"240 hp @ 5,600 RPM",453
"305 hp @ 6,350 RPM",452
"449 hp @ 5,250 RPM",450
"350 hp @ 2,800 RPM",447
"158 hp @ 6,000 RPM",434
"196 hp @ 6,300 RPM",431
"180 hp @ 6,700 RPM",425
"400 hp @ 6,000 RPM",415
"375 hp @ 5,150 RPM",413
"315 hp @ 5,200 RPM",411
"390 hp @ 5,600 RPM",404
"260 hp @ 6,400 RPM",402
"250 hp @ 5,300 RPM",402
"268 hp @ 6,000 RPM",399
"235 hp @ 6,000 RPM",396
"278 hp @ 6,200 RPM",396
"263 hp @ 6,250 RPM",393
"228 hp @ 4,700 RPM",391
"188 hp @ 5,600 RPM",385
"463 hp @ 5,250 RPM",384
"220 hp @ 4,500 RPM",382
"300 hp @ 6,300 RPM",382
"255 hp @ 4,500 RPM",382
"288 hp @ 6,500 RPM",372
"206 hp @ 6,600 RPM",370
"188 hp @ 5,800 RPM",361
"189 hp @ 4,700 RPM",359
"400 hp @ 2,800 RPM",355
"280 hp @ 6,200 RPM",352
"400 hp @ 5,000 RPM",350
"146 hp @ 6,000 RPM",346
"380 hp @ 6,500 RPM",344
"363 hp @ 5,200 RPM",344
"400 hp @ 5,750 RPM",344
"328 hp @ 7,000 RPM",337
"325 hp @ 7,000 RPM",332
"248 hp @ 4,300 RPM",330
"395 hp @ 5,500 RPM",325
"168 hp @ 6,100 RPM",324
"370 hp @ 5,250 RPM",323
"240 hp @ 3,600 RPM",323
"255 hp @ 6,400 RPM",320
"296 hp @ 5,500 RPM",316
"320 hp @ 5,500 RPM",315
"440 hp @ 2,800 RPM",315
"404 hp @ 5,500 RPM",315
"190 hp @ 7,000 RPM",315
"180 hp @ 6,000 RPM",310
"211 hp @ 5,800 RPM",308
"140 hp @ 6,000 RPM",308
"360 hp @ 5,500 RPM",307
"275 hp @ 6,000 RPM",306
"300 hp @ 6,500 RPM",305
"350 hp @ 3,900 RPM",304
"134 hp @ 4,400 RPM",303
"265 hp @ 6,250 RPM",302
"259 hp @ 5,300 RPM",299
"268 hp @ 5,500 RPM",298
"228 hp @ 4,500 RPM",295
"205 hp @ 5,200 RPM",295
"200 hp @ 6,300 RPM",295
