engine_cylinders,count
I4,307483
V6,163257
V8,60436
H4,22369
I4 Hybrid,13327
I3,11902
I6,6859
V8 Biodiesel,2595
I6 Diesel,2197
I4 Diesel,1435
V6 Diesel,1434
I5,1335
H6,1117
V8 Diesel,818
V6 Hybrid,724
V6 Biodiesel,465
V12,375
V10,234
I2,120
V8 Hybrid,28
