torque,count
"220 lb-ft @ 3,200 RPM",43
"105 lb-ft @ 4,000 RPM",43
"273 lb-ft @ 4,250 RPM",43
"280 lb-ft @ 1,900 RPM",43
"267 lb-ft @ 4,300 RPM",43
"401 lb-ft @ 4,400 RPM",42
"567 lb-ft @ 1,960 RPM",42
"291 lb-ft @ 5,100 RPM",42
"68 lb-ft @ 4,500 RPM",42
"140 lb-ft @ 5,000 RPM",42
"123 lb-ft @ 3,800 RPM",41
"242 lb-ft @ 4,900 RPM",41
"145 lb-ft @ 4,400 RPM",41
"480 lb-ft @ 4,500 RPM",41
"211 lb-ft @ 5,000 RPM",41
"383 lb-ft @ 5,000 RPM",41
"258 lb-ft @ 1,650 RPM",40
"202 lb-ft @ 4,200 RPM",40
"310 lb-ft @ 2,500 RPM",40
"465 lb-ft @ 5,500 RPM",40
"329 lb-ft @ 3,950 RPM",40
"340 lb-ft @ 3,600 RPM",39
"398 lb-ft @ 6,000 RPM",39
"161 lb-ft @ 3,500 RPM",39
"118 lb-ft @ 4,250 RPM",39
"331 lb-ft @ 1,700 RPM",39
"172 lb-ft @ 4,500 RPM",39
"291 lb-ft @ 4,000 RPM",39
"276 lb-ft @ 4,800 RPM",39
"707 lb-ft @ 4,500 RPM",39
"253 lb-ft @ 3,100 RPM",39
"341 lb-ft @ 4,700 RPM",38
"344 lb-ft @ 4,100 RPM",38
"538 lb-ft @ 2,500 RPM",38
"379 lb-ft @ 3,600 RPM",38
"360 lb-ft @ 3,400 RPM",38
"220 lb-ft @ 3,600 RPM",38
"212 lb-ft @ 5,000 RPM",38
"310 lb-ft @ 4,100 RPM",37
"140 lb-ft @ 3,500 RPM",37
"154 lb-ft @ 4,500 RPM",37
"237 lb-ft @ 3,200 RPM",37
"271 lb-ft @ 4,400 RPM",37
"295 lb-ft @ 3,900 RPM",37
"664 lb-ft @ 1,350 RPM",36
"252 lb-ft @ 4,400 RPM",36
"196 lb-ft @ 4,700 RPM",36
"450 lb-ft @ 1,750 RPM",36
"455 lb-ft @ 1,600 RPM",36
"157 lb-ft @ 4,000 RPM",36
"250 lb-ft @ 5,000 RPM",36
"487 lb-ft @ 1,700 RPM",36
"152 lb-ft @ 4,900 RPM",36
"664 lb-ft @ 2,750 RPM",36
"235 lb-ft @ 4,500 RPM",35
"470 lb-ft @ 4,800 RPM",35
"274 lb-ft @ 3,600 RPM",35
"107 lb-ft @ 4,500 RPM",35
"280 lb-ft @ 1,950 RPM",35
"516 lb-ft @ 1,700 RPM",35
"120 lb-ft @ 4,850 RPM",35
"284 lb-ft @ 4,000 RPM",35
"345 lb-ft @ 3,200 RPM",34
"248 lb-ft @ 2,100 RPM",34
"400 lb-ft @ 4,000 RPM",34
"209 lb-ft @ 4,400 RPM",34
"457 lb-ft @ 5,500 RPM",34
"166 lb-ft @ 1,950 RPM",34
"398 lb-ft @ 4,800 RPM",34
"225 lb-ft @ 3,000 RPM",34
"286 lb-ft @ 4,000 RPM",34
"215 lb-ft @ 3,750 RPM",34
"376 lb-ft @ 4,400 RPM",34
"226 lb-ft @ 2,800 RPM",33
"660 lb-ft @ 1,500 RPM",33
"150 lb-ft @ 4,500 RPM",33
"165 lb-ft @ 4,800 RPM",33
"295 lb-ft @ 4,600 RPM",33
"167 lb-ft @ 4,200 RPM",33
"219 lb-ft @ 4,200 RPM",33
"219 lb-ft @ 3,200 RPM",32
"151 lb-ft @ 6,600 RPM",32
"330 lb-ft @ 2,800 RPM",32
"167 lb-ft @ 4,400 RPM",32
"590 lb-ft @ 2,500 RPM",31
"272 lb-ft @ 4,000 RPM",31
"252 lb-ft @ 4,500 RPM",31
"221 lb-ft @ 3,300 RPM",31
"365 lb-ft @ 4,000 RPM",31
"233 lb-ft @ 5,000 RPM",31
"369 lb-ft @ 1,750 RPM",31
"162 lb-ft @ 5,000 RPM",31
"273 lb-ft @ 4,500 RPM",31
"174 lb-ft @ 4,400 RPM",31
"380 lb-ft @ 1,800 RPM",30
"325 lb-ft @ 2,400 RPM",30
"136 lb-ft @ 3,500 RPM",30
"266 lb-ft @ 2,750 RPM",30
"125 lb-ft @ 5,200 RPM",29
"278 lb-ft @ 5,100 RPM",29
"398 lb-ft @ 1,600 RPM",29
"406 lb-ft @ 1,400 RPM",29
"200 lb-ft @ 2,800 RPM",29
"428 lb-ft @ 1,750 RPM",29
"240 lb-ft @ 5,000 RPM",29
"173 lb-ft @ 4,100 RPM",29
"217 lb-ft @ 5,100 RPM",29
"389 lb-ft @ 5,600 RPM",28
"383 lb-ft @ 4,300 RPM",28
"295 lb-ft @ 3,750 RPM",28
"443 lb-ft @ 1,600 RPM",28
"322 lb-ft @ 1,750 RPM",28
"150 lb-ft @ 4,400 RPM",28
"346 lb-ft @ 4,000 RPM",28
260 lb-ft @ 323 RPM,28
"465 lb-ft @ 4,600 RPM",28
"150 lb-ft @ 4,200 RPM",27
"287 lb-ft @ 4,400 RPM",27
"516 lb-ft @ 4,500 RPM",27
"262 lb-ft @ 4,900 RPM",27
"295 lb-ft @ 1,550 RPM",27
"139 lb-ft @ 6,100 RPM",27
"142 lb-ft @ 4,000 RPM",27
"172 lb-ft @ 4,300 RPM",27
"195 lb-ft @ 4,000 RPM",27
"417 lb-ft @ 6,500 RPM",27
"368 lb-ft @ 1,520 RPM",27
"442 lb-ft @ 4,000 RPM",27
"164 lb-ft @ 4,500 RPM",27
"295 lb-ft @ 4,000 RPM",27
"105 lb-ft @ 4,200 RPM",26
"217 lb-ft @ 3,600 RPM",26
"323 lb-ft @ 4,400 RPM",26
"600 lb-ft @ 1,600 RPM",26
"236 lb-ft @ 1,450 RPM",26
"294 lb-ft @ 4,000 RPM",26
"393 lb-ft @ 3,400 RPM",26
"255 lb-ft @ 3,750 RPM",26
"151 lb-ft @ 4,800 RPM",25
"383 lb-ft @ 6,100 RPM",25
"610 lb-ft @ 1,400 RPM",25
"443 lb-ft @ 2,500 RPM",25
"391 lb-ft @ 6,500 RPM",25
"343 lb-ft @ 5,250 RPM",25
"184 lb-ft @ 4,200 RPM",25
"315 lb-ft @ 4,400 RPM",25
"170 lb-ft @ 2,500 RPM",25
"553 lb-ft @ 2,250 RPM",25
"255 lb-ft @ 4,400 RPM",25
"650 lb-ft @ 2,000 RPM",25
"325 lb-ft @ 4,250 RPM",24
"330 lb-ft @ 3,200 RPM",24
"470 lb-ft @ 4,200 RPM",24
"406 lb-ft @ 1,800 RPM",24
"302 lb-ft @ 4,000 RPM",24
"279 lb-ft @ 3,250 RPM",24
"516 lb-ft @ 1,500 RPM",24
"329 lb-ft @ 3,600 RPM",24
"330 lb-ft @ 3,950 RPM",24
"215 lb-ft @ 4,200 RPM",24
"314 lb-ft @ 3,400 RPM",24
"328 lb-ft @ 3,500 RPM",23
"350 lb-ft @ 3,400 RPM",23
"310 lb-ft @ 4,400 RPM",23
"258 lb-ft @ 4,600 RPM",23
"317 lb-ft @ 3,500 RPM",23
"240 lb-ft @ 4,800 RPM",23
"575 lb-ft @ 1,500 RPM",23
"401 lb-ft @ 4,000 RPM",23
"174 lb-ft @ 4,800 RPM",23
"161 lb-ft @ 5,100 RPM",23
"200 lb-ft @ 4,400 RPM",23
"290 lb-ft @ 4,250 RPM",23
"229 lb-ft @ 4,500 RPM",23
"331 lb-ft @ 1,750 RPM",23
"265 lb-ft @ 4,000 RPM",23
"481 lb-ft @ 1,700 RPM",22
"302 lb-ft @ 3,500 RPM",22
"516 lb-ft @ 1,100 RPM",22
"260 lb-ft @ 2,800 RPM",22
"300 lb-ft @ 3,500 RPM",22
"440 lb-ft @ 1,750 RPM",22
"146 lb-ft @ 4,250 RPM",22
"254 lb-ft @ 2,800 RPM",22
"398 lb-ft @ 6,500 RPM",22
"195 lb-ft @ 4,500 RPM",22
"202 lb-ft @ 2,800 RPM",22
"255 lb-ft @ 3,950 RPM",22
"303 lb-ft @ 4,100 RPM",21
"166 lb-ft @ 4,500 RPM",21
"350 lb-ft @ 2,250 RPM",21
"280 lb-ft @ 3,600 RPM",21
"417 lb-ft @ 4,400 RPM",21
"286 lb-ft @ 3,500 RPM",21
"154 lb-ft @ 3,750 RPM",21
"230 lb-ft @ 3,600 RPM",21
"510 lb-ft @ 4,500 RPM",21
"149 lb-ft @ 4,500 RPM",21
"384 lb-ft @ 3,500 RPM",21
"265 lb-ft @ 3,200 RPM",21
"187 lb-ft @ 4,800 RPM",21
"290 lb-ft @ 2,000 RPM",21
"500 lb-ft @ 1,500 RPM",20
"140 lb-ft @ 4,000 RPM",20
"530 lb-ft @ 7,000 RPM",20
"166 lb-ft @ 4,800 RPM",20
"200 lb-ft @ 4,000 RPM",20
"465 lb-ft @ 5,200 RPM",20
"332 lb-ft @ 2,250 RPM",20
"440 lb-ft @ 2,800 RPM",20
"560 lb-ft @ 2,000 RPM",19
"331 lb-ft @ 1,950 RPM",19
"236 lb-ft @ 1,250 RPM",19
"557 lb-ft @ 4,750 RPM",19
"240 lb-ft @ 3,000 RPM",19
"107 lb-ft @ 3,600 RPM",19
"274 lb-ft @ 4,800 RPM",19
"440 lb-ft @ 2,000 RPM",19
"195 lb-ft @ 4,700 RPM",19
"192 lb-ft @ 4,000 RPM",19
"376 lb-ft @ 5,000 RPM",19
"251 lb-ft @ 1,750 RPM",19
"204 lb-ft @ 4,000 RPM",18
"236 lb-ft @ 2,500 RPM",18
"555 lb-ft @ 1,400 RPM",18
"238 lb-ft @ 3,600 RPM",18
"173 lb-ft @ 4,600 RPM",18
"516 lb-ft @ 1,200 RPM",18
"290 lb-ft @ 3,600 RPM",18
"385 lb-ft @ 3,600 RPM",18
"340 lb-ft @ 4,000 RPM",18
"354 lb-ft @ 2,000 RPM",18
"171 lb-ft @ 4,100 RPM",18
"297 lb-ft @ 4,000 RPM",18
"265 lb-ft @ 2,750 RPM",18
"232 lb-ft @ 3,000 RPM",18
"169 lb-ft @ 4,000 RPM",18
"514 lb-ft @ 5,750 RPM",18
"222 lb-ft @ 3,200 RPM",18
"105 lb-ft @ 3,800 RPM",18
"293 lb-ft @ 3,500 RPM",18
"310 lb-ft @ 3,600 RPM",17
"250 lb-ft @ 3,500 RPM",17
"246 lb-ft @ 4,500 RPM",17
"260 lb-ft @ 4,700 RPM",17
"216 lb-ft @ 4,700 RPM",17
"354 lb-ft @ 1,700 RPM",17
"275 lb-ft @ 2,000 RPM",17
"333 lb-ft @ 4,500 RPM",17
"192 lb-ft @ 1,850 RPM",17
"443 lb-ft @ 1,500 RPM",17
"305 lb-ft @ 4,800 RPM",17
"685 lb-ft @ 1,600 RPM",17
"200 lb-ft @ 2,500 RPM",17
"556 lb-ft @ 3,800 RPM",17
"397 lb-ft @ 6,500 RPM",17
"221 lb-ft @ 1,400 RPM",16
"214 lb-ft @ 3,750 RPM",16
"150 lb-ft @ 4,800 RPM",16
"279 lb-ft @ 4,000 RPM",16
"229 lb-ft @ 4,300 RPM",16
"429 lb-ft @ 4,750 RPM",16
"330 lb-ft @ 3,600 RPM",16
"343 lb-ft @ 1,400 RPM",16
"186 lb-ft @ 4,100 RPM",16
"354 lb-ft @ 1,400 RPM",16
"252 lb-ft @ 2,800 RPM",16
"590 lb-ft @ 1,500 RPM",16
"186 lb-ft @ 3,250 RPM",16
"457 lb-ft @ 1,800 RPM",16
"217 lb-ft @ 3,000 RPM",16
"173 lb-ft @ 1,950 RPM",16
"181 lb-ft @ 4,500 RPM",16
"434 lb-ft @ 5,250 RPM",15
"270 lb-ft @ 4,400 RPM",15
"448 lb-ft @ 5,600 RPM",15
"235 lb-ft @ 3,600 RPM",15
"263 lb-ft @ 3,650 RPM",15
"219 lb-ft @ 3,500 RPM",15
"551 lb-ft @ 3,800 RPM",15
"228 lb-ft @ 4,500 RPM",15
"325 lb-ft @ 3,600 RPM",15
"272 lb-ft @ 5,200 RPM",15
"291 lb-ft @ 3,450 RPM",15
"516 lb-ft @ 5,500 RPM",15
"185 lb-ft @ 2,800 RPM",15
"663 lb-ft @ 1,800 RPM",15
"240 lb-ft @ 3,250 RPM",15
"406 lb-ft @ 2,350 RPM",15
"162 lb-ft @ 4,500 RPM",15
"101 lb-ft @ 4,200 RPM",15
"538 lb-ft @ 2,800 RPM",15
"214 lb-ft @ 4,400 RPM",15
"502 lb-ft @ 1,700 RPM",15
"279 lb-ft @ 4,500 RPM",15
"111 lb-ft @ 4,500 RPM",15
"223 lb-ft @ 2,000 RPM",14
"206 lb-ft @ 3,200 RPM",14
"400 lb-ft @ 4,800 RPM",14
"365 lb-ft @ 1,520 RPM",14
"149 lb-ft @ 4,200 RPM",14
"103 lb-ft @ 4,600 RPM",14
"405 lb-ft @ 2,150 RPM",14
"133 lb-ft @ 4,300 RPM",14
"605 lb-ft @ 1,500 RPM",14
"148 lb-ft @ 4,800 RPM",14
"256 lb-ft @ 5,000 RPM",14
"590 lb-ft @ 3,500 RPM",14
"225 lb-ft @ 3,200 RPM",14
"196 lb-ft @ 2,750 RPM",14
"229 lb-ft @ 3,750 RPM",14
"206 lb-ft @ 3,000 RPM",14
"116 lb-ft @ 1,500 RPM",14
"324 lb-ft @ 3,500 RPM",14
"154 lb-ft @ 4,000 RPM",14
"233 lb-ft @ 3,000 RPM",14
"264 lb-ft @ 2,000 RPM",14
"286 lb-ft @ 4,400 RPM",13
"215 lb-ft @ 5,100 RPM",13
"395 lb-ft @ 4,800 RPM",13
"135 lb-ft @ 3,600 RPM",13
"163 lb-ft @ 5,000 RPM",13
"225 lb-ft @ 2,000 RPM",13
"325 lb-ft @ 3,900 RPM",13
"241 lb-ft @ 4,600 RPM",13
"415 lb-ft @ 4,600 RPM",13
"127 lb-ft @ 3,000 RPM",13
"531 lb-ft @ 3,500 RPM",13
"354 lb-ft @ 4,750 RPM",13
"463 lb-ft @ 5,200 RPM",13
"320 lb-ft @ 4,400 RPM",13
"450 lb-ft @ 2,800 RPM",13
"177 lb-ft @ 1,800 RPM",13
"250 lb-ft @ 5,250 RPM",13
"275 lb-ft @ 4,750 RPM",13
"206 lb-ft @ 4,500 RPM",13
"253 lb-ft @ 4,100 RPM",13
"130 lb-ft @ 4,600 RPM",13
"717 lb-ft @ 4,500 RPM",13
"376 lb-ft @ 4,750 RPM",12
"147 lb-ft @ 3,000 RPM",12
"151 lb-ft @ 6,400 RPM",12
"222 lb-ft @ 2,800 RPM",12
"385 lb-ft @ 4,400 RPM",12
"590 lb-ft @ 1,700 RPM",12
"273 lb-ft @ 3,000 RPM",12
"264 lb-ft @ 4,500 RPM",12
"152 lb-ft @ 4,000 RPM",12
"250 lb-ft @ 3,600 RPM",12
"250 lb-ft @ 3,950 RPM",12
"612 lb-ft @ 1,900 RPM",12
"180 lb-ft @ 3,950 RPM",12
"243 lb-ft @ 2,300 RPM",12
"300 lb-ft @ 3,250 RPM",12
"361 lb-ft @ 4,750 RPM",12
"155 lb-ft @ 4,400 RPM",12
"249 lb-ft @ 4,400 RPM",12
"487 lb-ft @ 1,950 RPM",12
"123 lb-ft @ 1,000 RPM",12
"306 lb-ft @ 3,400 RPM",12
"243 lb-ft @ 2,400 RPM",12
"236 lb-ft @ 3,800 RPM",12
"146 lb-ft @ 4,200 RPM",12
"516 lb-ft @ 2,750 RPM",12
"627 lb-ft @ 2,250 RPM",11
"490 lb-ft @ 3,700 RPM",11
"258 lb-ft @ 1,900 RPM",11
"335 lb-ft @ 3,600 RPM",11
"413 lb-ft @ 1,200 RPM",11
"339 lb-ft @ 4,500 RPM",11
"122 lb-ft @ 4,800 RPM",11
"210 lb-ft @ 2,800 RPM",11
"232 lb-ft @ 3,200 RPM",11
"500 lb-ft @ 1,600 RPM",11
"336 lb-ft @ 2,800 RPM",11
"184 lb-ft @ 4,500 RPM",11
"177 lb-ft @ 4,700 RPM",11
"354 lb-ft @ 2,100 RPM",11
"406 lb-ft @ 6,500 RPM",11
"245 lb-ft @ 2,800 RPM",11
"192 lb-ft @ 5,000 RPM",11
"265 lb-ft @ 4,100 RPM",11
"531 lb-ft @ 1,700 RPM",11
"590 lb-ft @ 1,550 RPM",11
"335 lb-ft @ 3,000 RPM",11
"415 lb-ft @ 2,700 RPM",11
"325 lb-ft @ 2,000 RPM",10
"339 lb-ft @ 4,750 RPM",10
"201 lb-ft @ 4,600 RPM",10
"156 lb-ft @ 4,400 RPM",10
